,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
0,sports_bra,14.771759894316414,99.97918408389876,0.1600884333190222,0.1069132685881476,49.73673093441414,42.26251590167929,0.0920680691217911,24
5,wear,3.6283046838026607,94.04590982270192,0.1199615442686112,0.0,inf,6.603773584905673,0.0626832083182174,106
10,underwear,2.728732500539898,89.84549553009771,0.1149403771602889,0.1447477583261373,-20.592637503019663,2.141715641161548,0.050540623394804,93
11,active_wear,2.4958771244767792,88.2847352162676,0.1552149479636542,0.1162941905672721,33.46749928481408,37.93169528278416,0.0900280476653124,7
12,leg,2.4377068471188883,87.8541673312058,0.134820443569436,0.1131765983864377,19.12395803688682,19.808127917317385,0.0596995624374051,28
16,wearing,1.2029916247302537,72.47663380757605,0.1197681223265745,0.070135424091233,70.76694677254476,6.431889261133833,0.0629520565010023,105
18,bodysuit,1.069722571511443,69.66156314215522,0.127564472488086,0.114229117291623,11.674217145894888,13.360112405255892,0.0799007261239458,37
19,hip,1.042526547932131,69.0418644959362,0.1471249692338078,0.1174539102578799,25.261874134954425,30.742539240476507,0.0450915160603271,5
22,blonde,0.750803721704051,61.18023966106133,0.1389546275517144,0.1174324129961078,18.327320376461916,23.481968695978274,0.0432194852858649,7
24,back,0.524709557257942,52.9549419648505,0.1319972760353106,0.1173328505842122,12.498141294686665,17.29932132904722,0.0623680070915481,11
27,shorts,0.4477071804536855,49.51056627789734,0.1286549493297363,0.1171147747604066,9.853730746559108,14.329164171266603,0.065592130022432,16
33,underpants,0.2961467405293675,41.25380179607634,0.1226975365047185,0.1159317543156678,5.836004319082613,9.035111882910176,0.0532522067485515,46
34,leggings,0.2857308745250179,40.59005588179141,0.129697573368704,0.117843321756678,10.05933254028816,15.255691565207313,0.0792170022793848,9
35,hair,0.2436735159969639,37.74036215383941,0.1255980591301543,0.117473692450899,6.915903050081729,11.612660039071816,0.0456182281817752,18
36,skin,0.1746072608713538,32.3097477562877,0.1146199965124363,0.1204095358155402,-4.808206645670521,1.8570095192714964,0.0660824450146742,29
37,tan,0.1405504558458938,29.150943871582346,0.1154567710200527,0.1204163490108355,-4.118691549381316,2.600608817658483,0.0605340874800392,34
38,posing,0.1212481493982502,27.161815628794272,0.1175634150842813,0.12244335360052,-3.985466236215529,4.472677139354567,0.062559444193518,79
39,thigh,0.0841422230538407,22.76673696096604,0.1251273847673717,0.1183323698417557,5.742312889282061,11.19439547347116,0.0872668725363564,8
40,holding,0.0665809101796276,20.311331262723932,0.1128311015979325,0.1192610598128726,-5.391498469851844,0.2673088398108579,0.0286626611549308,7
43,tank_top,0.0266540657459237,12.93730311476724,0.1229684859915852,0.1185951760051809,3.6875951735281394,9.275891025317778,0.0469937552058521,6
44,style,0.0135977971382724,9.260781847600274,0.120554377660604,0.1185390510978365,1.700137249372914,7.13059471811868,0.0348677523275805,16
46,lace,0.0122303719991986,8.784821624053995,0.1200136671734838,0.118444433484859,1.324869090471365,6.6500925814099885,0.0423626128401401,27
47,lingerie,0.0042851762656667,5.206877457054904,0.1190033242059203,0.1178411910352078,0.9861858663371016,5.752251747383417,0.0647746738248071,92
