,Column,Importance,Confidence(%),Average CTR 1,Average CTR 0,Variation 1/0,Variation Overall,Standard Deviation,Frequency
0,contentFeaturization_visualAttentionSpread##low,4.776186152983057,97.07943120706311,0.1358372960038282,0.1118100696375328,21.48932242345177,3.1634266965361846,0.1040340432805004,560
3,contentFeaturization_tags##strap,3.895870938461387,95.1179683317017,0.1807620544339531,0.130794711095935,38.202877562356576,37.2821272265819,0.1505748083701732,17
4,contentFeaturization_tags##hip,3.796470881963878,94.82171139806212,0.1641476068218749,0.1301812943413681,26.09154614136694,24.66406577544869,0.1166259784129091,37
6,contentFeaturization_tags##posing,3.19767046037874,92.57995344644844,0.1367539024150672,0.1211385345801051,12.890504156326989,3.859555529318367,0.0997852625354884,465
7,contentFeaturization_backgroundColors##off_white,3.071270826517438,91.98499209008357,0.1384008553365952,0.1243034226552125,11.341146028203475,5.1103556555805145,0.1058055769016851,366
9,contentFeaturization_tags##boxer,2.500443727965332,88.57081427746256,0.1752009933220884,0.1311451063045199,33.593237490135834,33.05870599216153,0.1412386558652441,14
10,contentFeaturization_tags##waist,2.3561391217246377,87.47315337918582,0.1413009734347579,0.1279820313559925,10.406884417795846,7.312888609583644,0.1136686783073424,204
11,contentFeaturization_backgroundColors##pink,2.20077923709313,86.15830857773975,0.1666788691506032,0.1310546271171871,27.18274266009804,26.586466348647008,0.1630095860937865,19
12,contentFeaturization_foregroundColors##royal_blue,1.8674404588565587,82.77675403401692,0.1787590375164986,0.1314325216287003,36.008223308304736,35.760909600681,0.1235864354514855,9
15,contentFeaturization_tags##standing,1.5711442660703383,78.9516585540842,0.1464704169701264,0.1303230793624968,12.390236392984097,11.23889070850527,0.1074124839274535,72
18,contentFeaturization_foregroundColors##black,1.3841456298175183,76.01808748009238,0.1407240171884176,0.1295060202964994,8.662143170051031,6.874711575900903,0.1081348302772549,152
20,contentFeaturization_tags##thigh,1.1568482749355065,71.74880251666751,0.1465581707537072,0.1307917898094213,12.05456471484894,11.305536477275044,0.1189546443558333,54
21,contentFeaturization_foregroundColors##brown,1.1051328572268813,70.64740038588727,0.1361735416786646,0.1277459916161688,6.597115068641507,3.4187929107387984,0.1044034384073057,341
25,contentFeaturization_tags##crop_top,0.8203307350809407,63.458699561828325,0.1474620438746764,0.1312177447835191,12.379651180529684,11.99199484475794,0.0753312754159962,35
26,contentFeaturization_tags##corset,0.7766312755671971,62.15067593905776,0.1427960062482875,0.1309105051724682,9.079104125494524,8.448311005382305,0.1319339130629737,65
29,contentFeaturization_overallTone##warm,0.7107243497784356,60.049205720581675,0.1457884844072982,0.1312414865766291,11.084145882617214,10.72098802620127,0.1195081766324284,38
30,contentFeaturization_foregroundColors##dark_gray,0.7102454110174924,60.0333268866566,0.1441746197196803,0.1311310897043872,9.946939390725314,9.495317195750472,0.1250794900340553,48
31,contentFeaturization_visualContentDensity##low,0.6931702854889591,59.4611614177788,0.133317844355415,0.1231213548795089,8.281657951120474,1.2499959003341352,0.1048613163280547,583
33,contentFeaturization_tags##dress,0.6268604908017078,57.12071537519749,0.1446085496591372,0.131270498426413,10.160737860076935,9.824871013571894,0.1261461525991388,40
36,contentFeaturization_tags##sports_bra,0.5626084620575115,54.6522354728197,0.1371993551182188,0.130310207761842,5.286728856243991,4.197860462059831,0.0838553332473142,170
37,contentFeaturization_tags##lace,0.522291169409044,52.98788008948564,0.136289506467732,0.1300830778865194,4.771126792238841,3.5068638998432835,0.1027758149146114,213
38,contentFeaturization_tags##blonde,0.5085596472053334,52.39856579960932,0.1440138609915524,0.1313895445999224,9.60831124734519,9.373226858612297,0.1000465421621735,36
40,contentFeaturization_tags##bodysuit,0.4708645777742036,50.71700535464816,0.1367264122137826,0.1304475408611312,4.813330562770525,3.8386777332452175,0.1137950503918933,172
44,contentFeaturization_tags##athlete,0.369177321446097,45.633859678676856,0.1508422273225257,0.1317578384439501,14.484442902191477,14.559119762595053,0.0986741580231267,11
46,contentFeaturization_tags##apparel,0.3572447281599686,44.97551628498315,0.1473236478005735,0.1316974608636389,11.8652150424632,11.886888120273328,0.108357781024895,16
49,contentFeaturization_tags##wearing,0.2400786128408835,37.56883217667853,0.1317963786210665,0.1459761940102229,-9.713786200072718,0.0944986740618138,0.1035840262755826,651
50,contentFeaturization_tags##camisole,0.231545179551426,36.94605343170756,0.1376497901749133,0.1314064045565402,4.751203443578588,4.539949308936919,0.0898764789162437,71
51,contentFeaturization_tags##tank_top,0.2245311416606738,36.423487249263054,0.1398950304980823,0.1316124671068869,6.29314499854242,6.245126696219582,0.1071257518691469,37
53,contentFeaturization_backgroundColors##black,0.1706448294455261,32.03268723621786,0.1429691648429751,0.1318221810967682,8.456075945234215,8.579818584783926,0.0945356031236662,15
54,contentFeaturization_tags##camera,0.1460290223690505,29.751793627929658,0.1421529405932622,0.1318410460640189,7.821459884531065,7.959926309021785,0.0477071811471101,15
57,contentFeaturization_tags##shirt,0.082640361246794,22.615937772971726,0.1413963269112752,0.1319314521947009,7.174085147343215,7.385306065424888,0.116455033216419,10
61,contentFeaturization_foregroundColors##white,0.0385349058434728,15.556681780821147,0.1384400455909875,0.1319766552729928,4.897373936796033,5.140119211357629,0.0939810204830868,10
64,contentFeaturization_tags##face,0.0144445804469287,9.562741637347738,0.1340301797618197,0.1319552494784313,1.5724499719334977,1.7909884233294922,0.09982782620223,38
65,contentFeaturization_tags##wear,0.0094010074532432,7.721153501246903,0.1320953670762042,0.125,5.676293660963405,0.321569401189972,0.1031843432111493,662
66,contentFeaturization_tags##style,0.0083244806128013,7.266938881065976,0.1329585980074552,0.1319226613716473,0.7852605648164734,0.977161521455558,0.0992140706635383,97
67,contentFeaturization_backgroundColors##silver,0.0072361114704664,6.776483324602101,0.1339167737953694,0.1320108473223505,1.4437650478561743,1.7048607658228618,0.1003524734497872,22
68,contentFeaturization_backgroundColors##khaki,0.0055263797025821,5.9237394099356795,0.1329789816689649,0.1319757916460175,0.7601318472392256,0.9926421621325175,0.1366338439502646,65
